ej_back_len mass_ratio thrust_ratio
1.000000e+00 4.287459e-01 1.010737e+00
1.500000e+00 6.194890e-01 1.019857e+00
2.000000e+00 9.312027e-01 1.047228e+00
2.250000e+00 1.101953e+00 1.064456e+00
2.500000e+00 1.270396e+00 1.084102e+00
2.750000e+00 1.415032e+00 1.093328e+00
3.000000e+00 1.544054e+00 1.097484e+00
3.250000e+00 1.653833e+00 1.093745e+00
3.500000e+00 1.739344e+00 1.083136e+00
3.750000e+00 1.798714e+00 1.060188e+00
4.000000e+00 1.851322e+00 1.042664e+00
4.500000e+00 1.879514e+00 9.875652e-01
5.000000e+00 1.894846e+00 9.469844e-01
