ej_radi mass_ratio thrust_ratio
3.000000e-01 4.927027e-01 4.592361e-01
3.100000e-01 4.969560e-01 5.491744e-01
3.200000e-01 5.500259e-01 6.694810e-01
3.300000e-01 6.469448e-01 8.021274e-01
3.400000e-01 7.207091e-01 9.193377e-01
3.500000e-01 7.715346e-01 1.030066e+00
4.000000e-01 8.975563e-01 1.047368e+00
4.500000e-01 9.312027e-01 1.047228e+00
5.000000e-01 9.387744e-01 1.042097e+00
5.500000e-01 9.502434e-01 1.038077e+00
6.000000e-01 9.611361e-01 1.034083e+00
6.500000e-01 9.881922e-01 1.031903e+00
7.000000e-01 1.026680e+00 1.030357e+00
7.500000e-01 1.067348e+00 1.029720e+00
8.000000e-01 1.106713e+00 1.028938e+00
8.500000e-01 1.145537e+00 1.028568e+00
9.000000e-01 1.190530e+00 1.027906e+00
9.500000e-01 1.237156e+00 1.027844e+00
1.000000e+00 1.287475e+00 1.027610e+00
