
ej_radi bypass_ratio thrust_ratio total_thrust core_thrust mass_flow_in mass_flow_out mass_flow_total mass_flow_bypass mass_flow_error
4.000000e-01 1.325676e+00 8.029564e-01 3.416140e+04 4.254452e+04 2.775126e+01 5.454042e+01 1.268434e+02 7.230294e+01 4.911800e-01
4.250000e-01 1.714612e+00 9.504606e-01 4.055337e+04 4.266707e+04 2.800912e+01 5.465471e+01 1.483664e+02 9.371165e+01 4.875259e-01
4.500000e-01 1.938636e+00 1.008491e+00 4.303353e+04 4.267122e+04 2.680327e+01 5.460356e+01 1.604600e+02 1.058564e+02 5.091296e-01
4.750000e-01 2.096890e+00 1.068008e+00 4.559793e+04 4.269437e+04 2.713063e+01 5.465624e+01 1.692644e+02 1.146081e+02 5.036134e-01
5.000000e-01 2.213456e+00 1.089654e+00 4.662472e+04 4.278855e+04 2.965186e+01 5.468699e+01 1.757342e+02 1.210472e+02 4.577895e-01
5.250000e-01 2.288004e+00 1.096983e+00 4.688551e+04 4.274043e+04 2.747117e+01 5.470340e+01 1.798650e+02 1.251616e+02 4.978161e-01
5.500000e-01 2.351345e+00 1.103247e+00 4.710468e+04 4.269641e+04 2.670819e+01 5.470900e+01 1.833487e+02 1.286397e+02 5.118136e-01
5.750000e-01 2.405210e+00 1.101698e+00 4.706151e+04 4.271726e+04 2.758030e+01 5.471163e+01 1.863046e+02 1.315930e+02 4.958969e-01
6.000000e-01 2.450925e+00 1.101344e+00 4.701627e+04 4.268989e+04 2.708828e+01 5.471315e+01 1.888109e+02 1.340978e+02 5.049036e-01
6.250000e-01 2.472580e+00 1.098115e+00 4.685672e+04 4.267015e+04 2.800667e+01 5.471555e+01 1.900041e+02 1.352886e+02 4.881406e-01
6.500000e-01 2.476869e+00 1.097682e+00 4.690591e+04 4.273180e+04 2.738621e+01 5.471482e+01 1.902363e+02 1.355215e+02 4.994737e-01
6.750000e-01 2.466605e+00 1.105201e+00 4.722455e+04 4.272939e+04 2.720279e+01 5.471285e+01 1.896678e+02 1.349550e+02 5.028081e-01
7.000000e-01 2.465286e+00 1.119930e+00 4.788521e+04 4.275733e+04 2.741029e+01 5.471697e+01 1.896100e+02 1.348930e+02 4.990532e-01
7.250000e-01 2.524631e+00 1.138253e+00 4.867650e+04 4.276423e+04 2.738951e+01 5.472548e+01 1.928871e+02 1.381617e+02 4.995108e-01
7.500000e-01 2.538722e+00 1.144420e+00 4.891158e+04 4.273920e+04 2.794749e+01 5.472553e+01 1.936584e+02 1.389329e+02 4.893152e-01
7.750000e-01 2.505435e+00 1.130866e+00 4.837414e+04 4.277618e+04 2.739772e+01 5.472687e+01 1.918415e+02 1.371146e+02 4.993735e-01
8.000000e-01 2.448665e+00 1.119578e+00 4.788108e+04 4.276707e+04 2.704682e+01 5.472694e+01 1.887349e+02 1.340079e+02 5.057860e-01

